id,sentence,label
95,홍익대학교의 교육 이념이 무엇인지 설명해 줘.,8
96,홍대의 교육목표는 무엇이야?,8
97,학교의 교육목적이 뭔지 알아?,8
98,홍익대학교의 교육목적은 무엇이야?,8
99,홍대의 교육목표를 알려줘.,8
100,학교의 교육 이념이 뭔지 설명해줘.,8
101,홍익대학교의 교육 이념을 설명해 봐.,8
102,홍대의 교육목적은 무엇인가요?,8
103,홍익대학교의 교육 목표는 뭐야?,8
104,학교의 교육 이념을 알려줘.,8
105,홍대의 교육이념이 뭐야?,8
106,홍익대학교의 교육목표를 설명해줘.,8
107,홍대의 교육목적이 뭔지 알려줘.,8
108,학교의 교육목표가 뭐야?,8
109,홍익대학교의 교육목표는 무엇이지?,8
110,홍대의 건학이념을 설명해 봐.,8
111,학교의 교육 이념은 무엇이야?,8
112,홍익대학교의 교육목적을 알려줘.,8
113,홍대의 교육목표는 뭐지?,8
114,홍익대학교의 교육 이념이 무엇인가요?,8
115,홍대의 교육목적을 설명해줘.,8
116,학교의 교육 이념이 무엇인지 알아?,8
117,홍익대학교의 교육목표를 설명해 봐.,8
118,홍대의 교육목표는 무엇인가요?,8
119,홍익대학교의 교육 이념이 뭐야?,8
120,학교의 교육목적이 무엇인지 설명해줘.,8
121,홍대의 건학이념은 뭔지 알려줘.,8
122,홍익대학교의 교육목표가 뭐지?,8
123,홍대의 교육목적이 무엇이야?,8
124,학교의 교육 이념을 설명해 봐.,8
125,홍익대학교의 교육목적을 설명해줘.,8
126,홍대의 교육목표는 무엇이지?,8
127,홍익대학교의 교육목표를 알려줘.,8
128,학교의 교육 이념이 뭐지?,8
129,홍대의 교육목적을 설명해 줘.,8
130,홍익대학교의 교육목표는 뭔가요?,8
131,홍대의 건학이념이 뭐야?,8
132,학교의 교육목적을 알려줘.,8
133,홍익대학교의 교육목표가 뭐야?,8
134,홍대의 교육이념은 뭐지?,8
135,학교의 교육목적이 뭐지?,8
136,홍익대학교의 교육 이념을 설명해 봐.,8
137,홍대의 교육목표를 알려줘.,8
138,학교의 교육 이념이 뭐야?,8
139,홍익대학교의 교육목표는 무엇인가요?,8
140,홍대의 교육목적이 뭐야?,8
141,학교의 교육목적은 무엇이야?,8
142,홍익대학교의 교육목표를 설명해줘.,8
143,홍대의 건학이념은 무엇인가요?,8
144,홍익대학교의 교육목적을 알려줘.,8
145,홍대의 교육목표는 뭔가요?,8
146,학교의 교육 이념이 무엇인지 설명해 줘.,8
147,홍익대학교의 교육목적은 뭐야?,8
148,홍대의 교육목표가 무엇인지 설명해 줘.,8
149,학교의 교육 이념을 설명해 줘.,8
150,홍익대학교의 비전은 무엇인가요?,8
151,홍대의 비전은 뭐야?,8
152,학교의 발전 목표는 무엇이지?,8
153,홍익대학교의 발전 목표가 뭔가요?,8
154,홍익대학교의 비전을 설명해 줘.,8
155,홍대의 발전 목표가 뭐야?,8
156,학교의 비전은 뭐야?,8
157,홍익대학교의 비전이 뭔지 알려줘.,8
158,홍대의 비전은 무엇인가요?,8
159,홍익대학교의 발전 목표는 무엇인가요?,8
160,홍대의 비전은 무엇이야?,8
161,학교의 발전 목표가 뭐지?,8
162,홍익대학교의 발전 목표를 알려줘.,8
163,홍대의 비전을 설명해 봐.,8
164,홍익대학교의 비전은 뭐지?,8
165,홍익대학교의 발전 목표는 무엇인가요?,8
166,홍대의 비전이 뭐야?,8
167,학교의 비전은 무엇인가요?,8
168,홍익대학교의 비전이 무엇인지 알려줘.,8
169,홍대의 발전 목표가 뭐야?,8
170,학교의 비전을 설명해줘.,8
171,홍익대학교의 발전 목표가 뭔지 알아?,8
172,홍익대학교의 발전 목표는 무엇인가요?,8
173,홍대의 발전 목표는 뭔가요?,8
174,학교의 비전이 뭐야?,8
175,홍익대학교의 발전 목표를 설명해 줘.,8
176,홍대의 비전이 뭐지?,8
177,홍익대학교의 발전 목표는 무엇인가요?,8
178,홍익대학교의 비전은 무엇이야?,8
179,홍대의 비전을 알려줘.,8
180,학교의 발전 목표는 무엇이지?,8
181,홍익대학교의 발전 목표는 무엇인지 설명해 줘.,8
182,홍대의 비전을 설명해 봐.,8
183,홍익대학교의 비전을 알려줘.,8
184,학교의 발전 목표가 뭐야?,8
185,홍익대학교의 비전은 뭐야?,8
186,홍대의 비전은 무엇인가요?,8
187,홍익대학교의 비전이 무엇인지 알려줘.,8
188,홍대의 발전 목표가 뭐지?,8
189,학교의 비전은 무엇인가요?,8
190,홍익대학교의 비전이 뭐지?,8
191,홍대의 비전은 무엇이야?,8
192,학교의 비전을 설명해줘.,8
193,홍익대학교의 발전 목표가 뭐야?,8
194,홍대의 비전을 설명해 줘.,8
195,홍익대학교의 비전이 무엇인지 설명해 줘.,8
196,홍대의 발전 목표는 무엇이야?,8
197,학교의 비전이 무엇인지 알아?,8
198,홍익대학교의 발전 목표는 무엇이야?,8
199,홍대의 발전 목표를 알려줘.,8
200,학교의 비전이 뭔지 설명해줘.,8
201,홍익대학교의 비전을 설명해 봐.,8
202,홍대의 발전 목표는 무엇인가요?,8
203,홍익대학교의 비전은 뭐야?,8
204,학교의 비전을 알려줘.,8
205,홍대의 비전이 뭐야?,8
206,홍익대학교의 발전 목표를 설명해줘.,8
207,홍대의 발전 목표가 뭔지 알려줘.,8
208,학교의 비전이 뭐야?,8
209,홍익대학교의 비전은 무엇이지?,8
210,홍대의 비전을 설명해 봐.,8
211,학교의 비전은 무엇이야?,8
212,홍익대학교의 발전 목표를 알려줘.,8
213,홍대의 비전은 뭐지?,8
214,홍익대학교의 비전이 무엇인가요?,8
215,홍대의 발전 목표를 설명해줘.,8
216,학교의 비전이 무엇인지 알아?,8
217,홍익대학교의 발전 목표를 설명해 봐.,8
218,홍대의 발전 목표는 무엇인가요?,8
219,홍익대학교의 비전이 뭐야?,8
220,학교의 발전 목표가 무엇인지 설명해줘.,8
221,홍대의 비전은 뭔지 알려줘.,8
222,홍익대학교의 비전이 뭐지?,8
223,홍대의 발전 목표가 무엇이야?,8
224,학교의 비전을 설명해 봐.,8
225,홍익대학교의 발전 목표를 설명해줘.,8
226,홍대의 발전 목표는 무엇이지?,8
227,홍익대학교의 비전을 알려줘.,8
228,학교의 비전이 뭐지?,8
229,홍대의 발전 목표를 설명해 줘.,8
230,홍익대학교의 비전은 뭔가요?,8
231,홍대의 비전이 뭐야?,8
232,학교의 발전 목표를 알려줘.,8
233,홍익대학교의 비전이 뭐야?,8
234,홍대의 비전은 뭐지?,8
235,학교의 발전 목표가 뭐지?,8
236,홍익대학교의 비전을 설명해 봐.,8
237,홍대의 발전 목표를 알려줘.,8
238,학교의 비전이 뭐야?,8
239,홍익대학교의 비전은 무엇인가요?,8
240,홍대의 발전 목표가 뭐야?,8
241,학교의 발전 목표는 무엇이야?,8
242,홍익대학교의 비전을 설명해줘.,8
243,홍대의 비전은 무엇인가요?,8
244,홍익대학교의 발전 목표를 알려줘.,8
245,홍대의 비전은 뭔가요?,8
246,학교의 비전이 무엇인지 설명해 줘.,8
247,홍익대학교의 발전 목표는 뭐야?,8
248,홍대의 발전 목표가 무엇인지 설명해 줘.,8
249,학교의 비전을 설명해 줘.,8
250,홍익대학교의 역사에 대해 설명해 줘.,8
251,홍대의 역사는 어떻게 시작됐어?,8
252,학교의 역사를 알려줘.,8
253,홍익대학교가 언제 설립됐는지 알아?,8
254,홍대의 역사가 궁금해요.,8
255,학교의 연혁을 설명해 줘.,8
256,홍익대학교는 언제 세워졌어?,8
257,홍대의 설립 배경을 알고 싶어.,8
258,우리 학교의 역사를 자세히 알려줘.,8
259,홍익대학교는 몇 년도에 설립됐나요?,8
260,홍대의 역사를 설명해 봐.,8
261,학교가 언제 설립되었는지 알려줘.,8
262,홍익대학교의 창립일이 언제야?,8
263,홍대의 초기 역사를 알고 싶어.,8
264,학교의 설립 배경을 설명해 줘.,8
265,홍익대학교는 누구에 의해 설립됐나요?,8
266,홍대의 창립 배경을 알려줘.,8
267,학교의 역사적 사건들에 대해 설명해 줘.,8
268,홍익대학교가 세워진 이유가 뭐야?,8
269,홍대의 주요 역사를 알고 싶어.,8
270,학교의 역사를 한 번 설명해 봐.,8
271,홍익대학교의 설립자는 누구인가요?,8
272,홍대의 역사적 순간들을 알려줘.,8
273,학교의 창립 이야기를 들려줘.,8
274,홍익대학교는 어떻게 시작됐는지 설명해 줘.,8
275,홍대의 역사를 간단히 설명해 봐.,8
276,학교의 창립 과정이 궁금해.,8
277,홍익대학교의 설립 목적은 뭐야?,8
278,홍대의 역사적 배경을 알고 싶어.,8
279,학교의 역사를 자세히 설명해 줘.,8
280,홍익대학교의 초기 역사가 어떻게 되나요?,8
281,홍대의 창립 배경이 궁금해요.,8
282,학교가 세워진 이유를 설명해 줘.,8
283,홍익대학교의 역사적 의미는 뭐야?,8
284,홍대의 주요 연혁을 알고 싶어.,8
285,학교의 창립 배경을 설명해 줘.,8
286,홍익대학교의 설립 이야기를 들려줘.,8
287,홍대의 역사가 시작된 계기가 뭐야?,8
288,학교의 역사를 간단히 설명해 줘.,8
289,홍익대학교는 어떻게 세워졌나요?,8
290,홍대의 역사적 사건들을 알려줘.,8
291,학교의 창립 과정이 어떻게 되나요?,8
292,홍익대학교의 설립 배경을 설명해 줘.,8
293,홍대의 역사를 알고 싶어.,8
294,학교의 초기 역사를 알려줘.,8
295,홍익대학교는 언제 시작됐어?,8
296,홍대의 창립 이야기를 들려줄래?,8
297,학교의 설립 이유를 설명해 줘.,8
298,홍익대학교의 역사적 배경이 뭐야?,8
299,홍대의 주요 역사를 알려줘.,8
300,학교의 역사를 한 번 들려줘.,8
301,홍익대학교의 설립 목적을 알고 싶어.,8
302,홍대의 역사적 순간들을 설명해 줘.,8
303,학교의 창립 배경을 알고 싶어.,8
304,홍익대학교는 어떻게 설립됐나요?,8
305,홍대의 역사를 간단히 설명해 줘.,8
306,학교의 초기 이야기를 들려줘.,8
307,홍익대학교의 역사적 사건들은 뭐야?,8
308,홍대의 설립 과정을 알고 싶어.,8
309,학교의 연혁을 자세히 설명해 줘.,8
310,홍익대학교는 언제 세워졌는지 알려줘.,8
311,홍대의 역사적 배경을 설명해 줘.,8
312,학교의 창립 과정을 들려줘.,8
313,홍익대학교의 설립 이유가 뭐야?,8
314,홍대의 역사적 사건들을 알고 싶어.,8
315,학교의 초기 역사를 한 번 설명해 봐.,8
316,홍익대학교의 역사적 순간들은 무엇인가요?,8
317,홍대의 설립 배경을 자세히 알려줘.,8
318,학교의 창립 이유를 설명해 줘.,8
319,홍익대학교의 역사적 배경을 알고 싶어.,8
320,홍대의 주요 연혁을 설명해 줘.,8
321,학교의 역사를 자세히 들려줘.,8
322,홍익대학교의 설립 이야기를 알고 싶어.,8
323,홍대의 역사적 순간들을 들려줘.,8
324,학교의 창립 배경이 궁금해요.,8
325,홍익대학교는 언제 설립됐는지 알려줘.,8
326,홍대의 역사를 한 번 들려줘.,8
327,학교의 초기 이야기를 설명해 줘.,8
328,홍익대학교의 역사적 사건들은 무엇인가요?,8
329,홍대의 설립 과정을 설명해 줘.,8
330,학교의 연혁을 알고 싶어.,8
331,홍익대학교는 언제 세워졌는지 설명해 줘.,8
332,홍대의 역사적 배경을 들려줘.,8
333,학교의 창립 과정을 알고 싶어.,8
334,홍익대학교의 설립 이유를 설명해 줘.,8
335,홍대의 역사적 사건들을 들려줘.,8
336,학교의 초기 역사를 설명해 줘.,8
337,홍익대학교의 역사적 순간들을 알고 싶어.,8
338,홍대의 설립 배경이 무엇인가요?,8
339,학교의 창립 이유를 알고 싶어.,8
340,홍익대학교의 역사적 배경을 설명해 줘.,8
341,홍대의 주요 연혁을 들려줘.,8
342,학교의 역사를 자세히 설명해 줘.,8
343,홍익대학교의 설립 이야기를 들려줘.,8
344,홍대의 역사적 순간들을 설명해 줘.,8
345,학교의 창립 배경을 알고 싶어.,8
346,홍익대학교는 어떻게 세워졌는지 설명해 줘.,8
347,홍대의 역사를 한 번 들려줘.,8
348,학교의 초기 이야기를 설명해 줘.,8
349,홍익대학교의 역사적 사건들은 무엇인가요?,8
350,홍익대학교의 대학 현황에 대해 설명해 줘.,8
351,홍대 대학 현황에 대해 알고 싶어.,8
352,학교의 대학 현황을 알려줘.,8
353,홍익대학교 현황이 어떻게 되나요?,8
354,홍대 대학 현황은 뭐야?,8
355,우리 학교의 대학 현황을 설명해 줘.,8
356,홍익대학교의 현황을 알고 싶어요.,8
357,홍대의 현황은 어떻게 돼?,8
358,학교의 현재 상태를 설명해 줘.,8
359,홍익대학교 현재 상태는 어떠한가요?,8
360,홍대의 현황을 알려줘.,8
361,학교 현황이 어떻게 되지?,8
362,홍익대학교의 현재 상황을 설명해 줘.,8
363,홍대 현재 현황은 뭐야?,8
364,학교의 현황이 궁금해.,8
365,홍익대학교의 현황을 자세히 설명해 줘.,8
366,홍대 현황에 대해 알려줘.,8
367,학교의 현재 현황은 뭐야?,8
368,홍익대학교의 현재 상태를 알고 싶어.,8
369,홍대 현황이 어떻게 되지?,8
370,우리 학교의 현황을 설명해 줘.,8
371,홍익대학교 현황을 알고 싶어.,8
372,홍대 현황을 설명해 줄래?,8
373,학교의 현재 상황을 알려줘.,8
374,홍익대학교 현황은 어떠한가요?,8
375,홍대의 현황을 알고 싶어.,8
376,학교 현황을 자세히 설명해 봐.,8
377,홍익대학교의 현재 현황을 알려줘.,8
378,홍대 현황은 어떻게 돼?,8
379,학교의 현황이 뭐야?,8
380,홍익대학교의 현황을 설명해 줄래?,8
381,홍대의 현재 상태가 궁금해.,8
382,학교의 현재 상태를 알고 싶어.,8
383,홍익대학교 현황이 어떻게 되지?,8
384,홍대 현황을 설명해 줘.,8
385,학교 현황은 어떻게 되나요?,8
386,홍익대학교의 현재 상태는 뭐야?,8
387,홍대 현황을 자세히 설명해 줘.,8
388,학교의 현황을 알고 싶어.,8
389,홍익대학교 현황을 알려줘.,8
390,홍대의 현재 상태는 어떠니?,8
391,학교 현황이 어떻게 되는지 설명해 줘.,8
392,홍익대학교 현황에 대해 알려줘.,8
393,홍대의 현황이 궁금해.,8
394,학교의 현황을 자세히 설명해 줘.,8
395,홍익대학교 현황은 어떻게 돼?,8
396,홍대 현황을 설명해 봐.,8
397,학교의 현재 상태를 설명해 줘.,8
398,홍익대학교의 현황을 알고 싶어.,8
399,홍대의 현재 상황을 알려줘.,8
400,오늘 홍대 날씨 좋아요?,6
401,오늘 홍대 날씨 맑아?,6
402,홍대 날씨 지금 맑은가요?,6
403,홍대 오늘 날씨 화창한 거 같아?,6
404,홍익대학교 날씨가 화사한지 궁금해요.,6
405,홍대 날씨 지금 쾌청해?,6
406,홍대 오늘 날씨가 쾌청한가요?,6
407,홍익대학교 오늘 날씨 청명한가요?,6
408,오늘 홍익대학교 날씨 맑니?,6
409,홍대 날씨 오늘 맑아요?,6
410,홍대 날씨 지금 맑아?,6
411,홍익대학교 오늘 날씨 청명한가요?,6
412,홍대 근처 오늘 날씨 좋나요?,6
413,홍익대학교 날씨가 맑은지 궁금해요.,6
414,홍대 오늘 날씨 맑은 거 알아?,6
415,홍대 날씨 오늘 쾌청하니?,6
416,홍대 오늘 날씨 좋아요?,6
417,홍익대학교 날씨 지금 맑은지 알아요?,6
418,오늘 홍대 날씨 화창해?,6
419,홍대 오늘 날씨 맑은지 궁금해요.,6
420,홍익대학교 오늘 날씨 맑니?,6
421,홍대 오늘 날씨 화창해?,6
422,홍대 오늘 날씨가 맑은가요?,6
423,홍익대학교 날씨 지금 화창해요?,6
424,홍대 날씨가 오늘 맑은지 알려줄래?,6
425,홍대 날씨 지금 청명한가요?,6
426,홍익대학교 오늘 날씨가 맑아?,6
427,오늘 홍대 날씨가 화창한가요?,6
428,홍대 날씨 오늘 청명하니?,6
429,홍대 오늘 날씨가 맑은지 알려줘.,6
430,홍익대학교 날씨 지금 화사한가요?,6
431,홍대 오늘 날씨 맑은지 알아?,6
432,홍대 날씨 오늘 맑은지 아세요?,6
433,홍익대학교 날씨 지금 쾌청해?,6
434,홍대 날씨 오늘 청명한지 궁금해.,6
435,오늘 홍대 날씨가 맑아?,6
436,홍익대학교 오늘 날씨가 맑은가요?,6
437,홍대 날씨 오늘 맑은가요?,6
438,홍대 오늘 날씨가 좋나요?,6
439,홍대 날씨 지금 쾌청한지 알아?,6
440,홍익대학교 오늘 날씨가 화창해요?,6
441,홍대 오늘 날씨 청명한지 아세요?,6
442,오늘 홍익대학교 날씨 맑은가요?,6
443,홍대 날씨가 오늘 화창해요?,6
444,홍대 날씨 오늘 맑은가요?,6
445,홍익대학교 오늘 날씨 화창한지 알려줄래요?,6
446,오늘 홍대 날씨가 맑은가요?,6
447,홍대 날씨 지금 맑은지 궁금해요.,6
448,홍대 오늘 날씨 맑은지 궁금해요.,6
449,홍익대학교 날씨가 오늘 맑은가요?,6
450,홍대 오늘 날씨 맑아?,6
451,홍대 날씨 지금 맑은지 알려줄래?,6
452,홍익대학교 오늘 날씨가 맑은지 아세요?,6
453,오늘 홍대 날씨가 쾌청해요?,6
454,홍대 날씨 지금 맑은지 알려줄래요?,6
455,홍대 오늘 날씨 맑은지 아세요?,6
456,홍익대학교 오늘 날씨가 맑은지 궁금해요.,6
457,홍대 날씨가 오늘 맑은지 알고 싶어요?,6
458,홍익대학교 날씨가 오늘 화창한지 아세요?,6
459,오늘 홍대 날씨가 청명해?,6
460,홍대 오늘 날씨가 맑은지 알아?,6
461,홍대 날씨 지금 맑아?,6
462,홍익대학교 날씨가 지금 맑은지 궁금해요?,6
463,오늘 홍대 날씨가 쾌청한지 아세요?,6
464,홍대 오늘 날씨 맑은지 알려줘요?,6
465,홍대 날씨 지금 맑은지 아세요?,6
466,홍익대학교 오늘 날씨가 맑은지 알아?,6
467,홍대 날씨가 오늘 청명한지 궁금해.,6
468,홍대 오늘 날씨 좋나요?,6
469,홍대 오늘 날씨가 화창한지 알아?,6
470,홍익대학교 날씨가 오늘 화창한지 아세요?,6
471,홍대 날씨 지금 맑은지 알려줄래요?,6
472,홍대 오늘 날씨가 맑은가요?,6
473,홍대 오늘 날씨 맑은지 알아?,6
474,홍익대학교 날씨 지금 청명한지 알아요?,6
475,홍대 오늘 날씨가 맑은지 알려줄래요?,6
476,오늘 홍대 날씨가 좋나요?,6
477,홍대 날씨 지금 맑은지 궁금해요.,6
478,홍익대학교 오늘 날씨 청명해요?,6
479,홍대 오늘 날씨가 좋은가요?,6
480,홍대 날씨 지금 맑은지 알아봐줄래요?,6
481,홍익대학교 오늘 날씨가 맑은지 알아요?,6
482,홍대 날씨가 지금 맑은가요?,6
483,홍대 오늘 날씨 화창한지 궁금해.,6
484,홍대 오늘 날씨가 맑은지 알아볼 수 있나요?,6
485,홍익대학교 날씨가 오늘 맑은지 궁금해요.,6
486,홍대 오늘 날씨 맑은지 알아요?,6
487,오늘 홍대 날씨가 청명해요?,6
488,홍대 오늘 날씨가 좋은지 알려줄래?,6
489,홍대 날씨 지금 맑은지 아세요?,6
490,홍익대학교 오늘 날씨 맑은지 아세요?,6
491,홍대 날씨가 지금 맑은지 알아요?,6
492,홍대 오늘 날씨가 화창한지 궁금해요.,6
493,홍익대학교 오늘 날씨가 맑은지 아세요?,6
494,오늘 홍대 날씨가 맑은가요?,6
495,홍대 날씨 지금 청명해요?,6
496,홍대 오늘 날씨가 맑은지 알려줄래요?,6
497,홍익대학교 날씨가 오늘 맑아요?,6
498,홍대 오늘 날씨가 맑은지 궁금해요.,6
499,홍대 오늘 날씨가 맑은가요?,6
500,오늘 홍대 날씨 흐린가요?,6
501,오늘 홍대 날씨 흐려?,6
502,홍대 날씨 지금 흐린가요?,6
503,홍대 오늘 날씨 흐린 거 같아?,6
504,홍익대학교 날씨가 흐린지 궁금해요.,6
505,오늘 홍대 날씨 흐린가요?,6
506,오늘 홍대 날씨 흐려?,6
507,홍대 날씨 지금 흐린가요?,6
508,홍대 오늘 날씨 흐린 거 같아?,6
509,홍익대학교 날씨가 흐린지 궁금해요.,6
510,홍대 날씨 지금 우중충해?,6
511,홍대 오늘 날씨가 우중충한가요?,6
512,홍익대학교 오늘 날씨 흐린가요?,6
513,오늘 홍익대학교 날씨 흐리니?,6
514,홍대 날씨 오늘 구름 많아요?,6
515,홍대 날씨 지금 흐려?,6
516,홍익대학교 오늘 날씨 구름이 잔뜩인가요?,6
517,홍대 근처 오늘 날씨 흐린가요?,6
518,홍익대학교 날씨가 흐린지 궁금해요.,6
519,홍대 오늘 날씨 흐린 거 알아?,6
520,홍대 날씨 오늘 흐리니?,6
521,홍대 오늘 날씨 흐려요?,6
522,홍익대학교 날씨 지금 흐린지 알아요?,6
523,오늘 홍대 날씨 흐려?,6
524,홍대 오늘 날씨 흐린지 궁금해요.,6
525,홍익대학교 오늘 날씨 흐리니?,6
526,홍대 오늘 날씨 흐려?,6
527,홍대 오늘 날씨가 흐린가요?,6
528,홍익대학교 날씨 지금 흐려요?,6
529,홍대 날씨가 오늘 흐린지 알려줄래?,6
530,홍대 날씨 지금 흐린가요?,6
531,홍익대학교 오늘 날씨가 흐려?,6
532,오늘 홍대 날씨가 흐린가요?,6
533,홍대 날씨 오늘 우중충하니?,6
534,홍대 오늘 날씨가 흐린지 알려줘.,6
535,홍익대학교 날씨 지금 구름 많나요?,6
536,홍대 오늘 날씨 흐린지 알아?,6
537,홍대 날씨 오늘 흐린지 아세요?,6
538,홍익대학교 날씨 지금 흐려?,6
539,홍대 날씨 오늘 흐린지 궁금해.,6
540,오늘 홍대 날씨가 흐려?,6
541,홍익대학교 오늘 날씨가 흐린가요?,6
542,홍대 날씨 오늘 흐린가요?,6
543,홍대 오늘 날씨가 흐려요?,6
544,홍대 날씨 지금 흐린지 알아?,6
545,홍익대학교 오늘 날씨가 흐려요?,6
546,홍대 오늘 날씨 흐린지 아세요?,6
547,오늘 홍익대학교 날씨 흐린가요?,6
548,홍대 날씨가 오늘 흐려요?,6
549,홍대 날씨 오늘 흐린가요?,6
550,홍익대학교 오늘 날씨 흐린지 알려줄래요?,6
551,오늘 홍대 날씨가 흐린가요?,6
552,홍대 날씨 지금 흐린지 궁금해요.,6
553,홍대 오늘 날씨 흐린지 궁금해요.,6
554,홍익대학교 날씨가 오늘 흐린가요?,6
555,홍대 오늘 날씨 흐려?,6
556,홍대 날씨 지금 흐린지 알려줄래?,6
557,홍익대학교 오늘 날씨가 흐린지 아세요?,6
558,오늘 홍대 날씨가 흐려요?,6
559,홍대 날씨 지금 흐린지 알려줄래요?,6
560,홍대 오늘 날씨 흐린지 아세요?,6
561,홍익대학교 오늘 날씨가 흐린지 궁금해요.,6
562,홍대 날씨가 오늘 흐린지 알고 싶어요?,6
563,홍익대학교 날씨가 오늘 흐린지 아세요?,6
564,오늘 홍대 날씨가 구름 많아?,6
565,홍대 오늘 날씨가 흐린지 알아?,6
566,홍대 날씨 지금 흐려?,6
567,홍익대학교 날씨가 지금 흐린지 궁금해요?,6
568,오늘 홍대 날씨가 우중충한지 아세요?,6
569,홍대 오늘 날씨 흐린지 알려줘요?,6
570,홍대 날씨 지금 흐린지 아세요?,6
571,홍익대학교 오늘 날씨가 흐린지 알아?,6
572,홍대 날씨가 오늘 흐린지 궁금해.,6
573,홍대 오늘 날씨 흐린가요?,6
574,홍대 오늘 날씨가 구름 많은지 알아?,6
575,홍익대학교 날씨가 오늘 구름 많은지 아세요?,6
