id,sentence,label
36,홍대 오늘 날씨가 맑은지 알려줄 수 있나요?,6
37,홍익대학교 오늘 날씨가 맑은지 아시나요?,6
38,홍대 날씨가 오늘 맑은지 지금 알려줄래요?,6
39,오늘 홍익대학교 날씨가 맑은지 알아볼 수 있나요?,6
40,홍익대학교 날씨가 맑은지 지금 알고 싶어요.,6
41,홍대 근처 오늘 날씨가 맑은지 아시나요?,6
42,오늘 홍대 날씨가 맑은지 확인할 수 있나요?,6
43,홍대 날씨가 맑은지 지금 아시나요?,6
44,홍익대학교 오늘 날씨가 맑은지 알려줄래요?,6
45,지금 홍익대학교 날씨가 맑은지 확인해줄래요?,6
46,오늘 홍대 날씨가 맑은지 알려줄래요?,6
47,홍대 날씨가 맑은지 지금 확인해줄 수 있나요?,6
48,홍익대학교 날씨가 오늘 맑은지 아시나요?,6
49,지금 홍대 날씨가 맑은지 알고 싶어요.,6
50,홍익대학교 오늘 날씨가 맑은지 지금 확인해줄래요?,6
51,홍대 오늘 날씨가 맑은지 아시나요?,6
52,오늘 홍대 날씨가 맑은지 알고 싶어요.,6
53,홍익대학교 날씨가 맑은지 지금 알아볼 수 있나요?,6
54,오늘 홍대 날씨가 맑은지 지금 확인해줄 수 있나요?,6
55,홍익대학교 날씨가 오늘 맑은지 지금 아세요?,6
56,홍대 날씨가 맑은지 지금 확인해줄 수 있을까요?,6
57,오늘 홍익대학교 날씨가 맑은지 알려줄 수 있나요?,6
58,지금 홍대 날씨가 맑은지 알아봐줄 수 있나요?,6
59,오늘 홍대 날씨가 맑은지 지금 알려줄래요?,6
60,홍익대학교 날씨가 맑은지 지금 알고 싶어요.,6
61,홍대 근처 오늘 날씨가 맑은지 지금 아시나요?,6
62,홍대 날씨가 오늘 맑은지 지금 알아봐줄래요?,6
63,오늘 홍익대학교 날씨가 맑은지 지금 확인할 수 있나요?,6
64,홍대 오늘 날씨가 맑은지 지금 아시나요?,6
65,지금 홍익대학교 날씨가 맑은지 확인해줄 수 있나요?,6
66,홍대 날씨가 오늘 맑은지 지금 알려줄 수 있나요?,6
67,오늘 홍대 날씨가 맑은지 지금 알아볼 수 있나요?,6
68,홍익대학교 날씨가 오늘 맑은지 아세요?,6
69,홍대 근처 오늘 날씨가 맑은지 지금 알려줄 수 있나요?,6
70,홍대 날씨가 오늘 맑은지 지금 확인해줄래요?,6
71,홍익대학교 날씨가 맑은지 지금 확인해줄래요?,6
72,홍대 날씨가 오늘 맑은지 지금 아세요?,6
73,오늘 홍대 날씨가 맑은지 지금 확인해줄 수 있을까요?,6
74,홍익대학교 오늘 날씨가 맑은지 지금 알고 싶어요.,6
75,홍대 날씨가 맑은지 지금 확인해줄 수 있나요?,6
76,오늘 홍익대학교 날씨가 맑은지 지금 알아봐줄래요?,6
77,홍대 오늘 날씨가 맑은지 지금 알고 싶어요.,6
78,지금 홍대 날씨가 맑은지 확인해줄 수 있나요?,6
79,홍익대학교 날씨가 오늘 맑은지 지금 확인해줄 수 있나요?,6
80,홍대 근처 날씨가 오늘 맑은지 지금 알려줄래요?,6
81,오늘 홍대 날씨가 맑은지 지금 확인해줄래요?,6
82,홍대 날씨가 맑은지 지금 알고 싶어요.,6
83,홍익대학교 오늘 날씨가 맑은지 지금 확인해줄래요?,6
84,홍대 날씨가 오늘 맑은지 지금 알려줄래요?,6
85,홍대 날씨가 맑은지 지금 확인해줄 수 있을까요?,6
86,오늘 홍익대학교 날씨가 맑은지 지금 알고 싶어요.,6
87,홍대 오늘 날씨가 맑은지 지금 확인해줄 수 있나요?,6
88,홍익대학교 날씨가 맑은지 지금 알아봐줄 수 있나요?,6
89,오늘 홍대 날씨가 맑은지 지금 알고 싶어요.,6
90,홍대 근처 날씨가 오늘 맑은지 지금 아세요?,6
91,오늘 홍익대학교 날씨가 맑은지 지금 확인해줄래요?,6
92,홍대 날씨가 오늘 맑은지 지금 알고 싶어요.,6
93,지금 홍대 날씨가 맑은지 확인해줄래요?,6
94,오늘 홍대 날씨가 맑은지 지금 알아봐줄래요?,6
95,홍익대학교 날씨가 맑은지 지금 알고 싶어요.,6
96,홍대 오늘 날씨가 맑은지 지금 확인해줄 수 있나요?,6
97,오늘 홍대 날씨가 맑은지 지금 알려줄래요?,6
98,홍익대학교 오늘 날씨가 맑은지 지금 알고 싶어요.,6
99,홍대 근처 오늘 날씨가 맑은지 지금 확인해줄래요?,6
100,홍대 날씨가 흐린가요?,6
101,홍익대학교 날씨가 흐린지 궁금해요.,6
102,홍대 주변 날씨가 오늘 흐린가요?,6
103,홍익대학교 날씨가 흐린지 알고 싶어요.,6
104,홍대 날씨가 지금 흐린가요?,6
105,홍익대학교 날씨가 지금 흐린지 알려주세요.,6
106,홍익대학교 근처 날씨가 흐린가요?,6
107,홍대 날씨가 지금 흐린지 궁금해요.,6
108,홍대 주변 날씨가 지금 흐린가요?,6
109,홍익대학교 날씨가 흐린지 알려주세요.,6
110,홍대 날씨가 오늘 흐린지 확인해줄래요?,6
111,오늘 홍대 날씨가 흐린지 궁금해요.,6
112,홍익대학교 날씨가 오늘 흐린지 아세요?,6
113,지금 홍대 날씨가 흐린지 알고 싶어요.,6
114,홍익대학교 날씨가 흐린지 지금 확인해줄래요?,6
115,오늘 홍대 날씨가 흐린지 확인해줄래요?,6
116,홍익대학교 오늘 날씨가 흐린지 궁금해요?,6
117,지금 홍대 날씨가 흐린지 아세요?,6
118,오늘 홍익대학교 날씨가 흐린지 알고 싶어요.,6
119,홍익대학교 오늘 날씨가 흐린지 아세요?,6
120,홍대 오늘 날씨가 흐린지 알고 싶어요.,6
121,오늘 홍대 날씨가 흐린지 확인해보셨나요?,6
122,홍익대학교 날씨가 흐린지 지금 알아볼 수 있나요?,6
123,홍대 날씨가 오늘 흐린지 확인해줄 수 있나요?,6
124,오늘 홍익대학교 날씨가 흐린지 알고 싶어요.,6
125,홍대 오늘 날씨가 흐린지 알아볼 수 있을까요?,6
126,홍익대학교 오늘 날씨가 흐린지 지금 알려주세요.,6
127,홍대 근처 날씨가 오늘 흐린지 궁금해요.,6
128,홍대 날씨가 흐린지 지금 아세요?,6
129,홍익대학교 오늘 날씨가 흐린지 궁금해요.,6
130,오늘 홍대 날씨가 흐린지 아시나요?,6
131,홍대 날씨가 흐린지 지금 확인해줄래?,6
132,오늘 홍익대학교 날씨가 흐린지 아세요?,6
133,지금 홍익대학교 날씨가 흐린지 알고 싶어요.,6
134,홍대 근처 날씨가 흐린지 아시나요?,6
135,홍대 오늘 날씨가 흐린지 알려줄 수 있나요?,6
136,홍익대학교 오늘 날씨가 흐린지 아시나요?,6
137,홍대 날씨가 오늘 흐린지 지금 알려줄래요?,6
138,오늘 홍익대학교 날씨가 흐린지 알아볼 수 있나요?,6
139,홍익대학교 날씨가 흐린지 지금 알고 싶어요.,6
140,홍대 근처 오늘 날씨가 흐린지 아시나요?,6
141,오늘 홍대 날씨가 흐린지 확인할 수 있나요?,6
142,홍대 날씨가 흐린지 지금 아시나요?,6
143,홍익대학교 오늘 날씨가 흐린지 알려줄래요?,6
144,지금 홍익대학교 날씨가 흐린지 확인해줄래요?,6
145,오늘 홍대 날씨가 흐린지 알려줄래요?,6
146,홍대 날씨가 흐린지 지금 확인해줄 수 있나요?,6
147,홍익대학교 날씨가 오늘 흐린지 아시나요?,6
148,지금 홍대 날씨가 흐린지 알고 싶어요.,6
149,홍익대학교 오늘 날씨가 흐린지 지금 확인해줄래요?,6
150,홍대 오늘 날씨가 흐린지 아시나요?,6
151,오늘 홍대 날씨가 흐린지 알고 싶어요.,6
152,홍익대학교 날씨가 흐린지 지금 알아볼 수 있나요?,6
153,오늘 홍대 날씨가 흐린지 지금 확인해줄 수 있나요?,6
154,홍익대학교 날씨가 오늘 흐린지 지금 아세요?,6
155,홍대 날씨가 흐린지 지금 확인해줄 수 있을까요?,6
156,오늘 홍익대학교 날씨가 흐린지 지금 알려줄 수 있나요?,6
157,지금 홍대 날씨가 흐린지 알아봐줄 수 있나요?,6
158,오늘 홍대 날씨가 흐린지 지금 알려줄래요?,6
159,홍익대학교 날씨가 흐린지 지금 알고 싶어요.,6
160,홍대 근처 오늘 날씨가 흐린지 지금 아시나요?,6
161,홍대 날씨가 오늘 흐린지 지금 알아봐줄래요?,6
162,오늘 홍익대학교 날씨가 흐린지 지금 확인할 수 있나요?,6
163,홍대 오늘 날씨가 흐린지 지금 아시나요?,6
164,지금 홍익대학교 날씨가 흐린지 확인해줄 수 있나요?,6
165,홍대 날씨가 오늘 흐린지 지금 알려줄 수 있나요?,6
166,오늘 홍대 날씨가 흐린지 지금 알아볼 수 있나요?,6
167,홍익대학교 날씨가 오늘 흐린지 아세요?,6
168,홍대 근처 오늘 날씨가 흐린지 지금 알려줄 수 있나요?,6
169,홍대 날씨가 오늘 흐린지 지금 확인해줄래요?,6
170,홍익대학교 날씨가 흐린지 지금 확인해줄래요?,6
171,홍대 날씨가 오늘 흐린지 지금 아세요?,6
172,오늘 홍대 날씨가 흐린지 지금 확인해줄 수 있을까요?,6
173,홍익대학교 오늘 날씨가 흐린지 지금 알고 싶어요.,6
174,홍대 날씨가 흐린지 지금 확인해줄 수 있나요?,6
175,오늘 홍익대학교 날씨가 흐린지 지금 알아봐줄래요?,6
176,홍대 오늘 날씨가 흐린지 지금 알고 싶어요.,6
177,지금 홍대 날씨가 흐린지 확인해줄 수 있나요?,6
178,홍익대학교 날씨가 오늘 흐린지 지금 확인해줄 수 있나요?,6
179,홍대 근처 날씨가 오늘 흐린지 지금 알려줄래요?,6
180,오늘 홍대 날씨가 흐린지 지금 확인해줄래요?,6
181,홍대 날씨가 흐린지 지금 알고 싶어요.,6
182,홍익대학교 오늘 날씨가 흐린지 지금 확인해줄래요?,6
183,홍대 날씨가 오늘 흐린지 지금 알려줄래요?,6
184,홍대 날씨가 흐린지 지금 확인해줄 수 있을까요?,6
185,오늘 홍익대학교 날씨가 흐린지 지금 알고 싶어요.,6
186,홍대 오늘 날씨가 흐린지 지금 확인해줄 수 있나요?,6
187,홍익대학교 날씨가 흐린지 지금 알아봐줄 수 있나요?,6
188,오늘 홍대 날씨가 흐린지 지금 알고 싶어요.,6
189,홍대 근처 날씨가 오늘 흐린지 지금 아세요?,6
190,오늘 홍익대학교 날씨가 흐린지 지금 확인해줄래요?,6
191,홍대 날씨가 오늘 흐린지 지금 알고 싶어요.,6
192,지금 홍대 날씨가 흐린지 확인해줄래요?,6
193,오늘 홍대 날씨가 흐린지 지금 알아봐줄래요?,6
194,홍익대학교 날씨가 흐린지 지금 알고 싶어요.,6
195,홍대 오늘 날씨가 흐린지 지금 확인해줄 수 있나요?,6
196,오늘 홍대 날씨가 흐린지 지금 알려줄래요?,6
197,홍익대학교 오늘 날씨가 흐린지 지금 알고 싶어요.,6
198,홍대 근처 오늘 날씨가 흐린지 지금 확인해줄래요?,6
199,홍익대학교 근처 비 올 확률이 있나요?,6
200,홍익대학교 앞에 비가 오나요?,6
201,홍익대학교 주변 비가 내리고 있나요?,6
202,홍대 근처 비 예보가 있나요?,6
203,홍익대학교 날씨가 비오는지 궁금해요.,6
204,홍대 근처 비 올 가능성이 있나요?,6
205,홍익대학교 오늘 비가 오는지 궁금해요.,6
206,홍대 근처 비가 올 확률이 있나요?,6
207,홍익대학교 근처 비가 오는지 알려주세요.,6
208,홍익대학교 비 올 가능성이 있나요?,6
209,홍익대학교 오늘 비 올 확률이 있나요?,6
210,오늘 홍대 근처 비가 오나요?,6
211,홍대 비 예보가 궁금해요.,6
212,홍익대학교 앞에 오늘 비가 오나요?,6
213,오늘 홍대 비가 올까요?,6
214,홍대 근처 비 소식 있나요?,6
215,오늘 홍대 비가 내릴까요?,6
216,홍익대학교 오늘 비 소식 있나요?,6
217,홍대 비 예보 좀 알려주세요.,6
218,오늘 홍익대학교 비가 올까요?,6
219,홍대 근처 오늘 비 올까요?,6
220,홍익대학교 오늘 비 예보 있나요?,6
221,오늘 홍대 근처 비 소식 있나요?,6
222,홍대 오늘 비가 내릴 가능성이 있나요?,6
223,오늘 홍익대학교 비가 올 확률 있나요?,6
224,홍대 비 예보 있나요?,6
225,홍익대학교 오늘 비가 올 가능성이 있나요?,6
226,오늘 홍대 비가 올 확률이 있나요?,6
227,홍대 근처 오늘 비 소식 있나요?,6
228,홍익대학교 오늘 비가 내릴까요?,6
229,오늘 홍대 비 예보 있나요?,6
230,홍대 비가 올 가능성 있나요?,6
231,오늘 홍익대학교 비가 올까요?,6
232,홍대 근처 비가 올 확률이 있나요?,6
233,오늘 홍익대학교 비 소식 있나요?,6
234,홍대 비 예보가 있나요?,6
235,오늘 홍대 비가 내릴까요?,6
236,홍익대학교 오늘 비가 올 가능성 있나요?,6
237,오늘 홍대 비 예보가 있나요?,6
238,홍대 비가 올 확률 있나요?,6
239,오늘 홍익대학교 비가 내릴 확률이 있나요?,6
240,홍대 비 예보 좀 알려줄래요?,6
241,오늘 홍익대학교 비 예보가 있나요?,6
242,홍대 비 올 가능성이 있나요?,6
243,오늘 홍대 비 소식 있나요?,6
244,홍익대학교 오늘 비가 내릴 확률 있나요?,6
245,홍대 비,6
246,오늘 홍익대학교 비 올 가능성이 있나요?,6
247,홍대 비가 올 가능성이 있나요?,6
248,오늘 홍익대학교 비 소식이 있나요?,6
249,홍대 근처 비 예보가 궁금해요.,6
250,오늘 홍대 비가 올 가능성이 있나요?,6
251,홍익대학교 오늘 비가 내릴까요?,6
252,홍대 비가 올 확률이 있나요?,6
253,오늘 홍익대학교 비가 내릴 가능성이 있나요?,6
254,홍대 비 예보 좀 확인해줄래요?,6
255,오늘 홍대 비 예보가 있나요?,6
256,홍익대학교 비가 올 확률 있나요?,6
257,홍대 근처 비 소식이 궁금해요.,6
258,오늘 홍익대학교 비가 올까요?,6
259,홍대 비가 올 확률이 궁금해요.,6
260,오늘 홍대 비 소식이 있나요?,6
261,홍익대학교 비 예보 좀 알려줄래요?,6
262,오늘 홍대 비가 내릴 가능성이 있나요?,6
263,홍대 비가 내릴 확률 있나요?,6
264,오늘 홍익대학교 비가 올 가능성이 있나요?,6
265,홍대 비가 올 가능성 있나요?,6
266,오늘 홍대 비가 올 확률이 있나요?,6
267,홍익대학교 비가 내릴 확률이 있나요?,6
268,오늘 홍대 비가 올 확률이 있나요?,6
269,홍익대학교 오늘 비가 올 확률이 궁금해요.,6
270,홍대 비가 올 가능성이 궁금해요.,6
271,오늘 홍익대학교 비 예보 있나요?,6
272,홍대 근처 오늘 비가 내릴까요?,6
273,홍익대학교 비가 내릴 가능성이 있나요?,6
274,오늘 홍대 비가 올 가능성이 궁금해요.,6
275,홍대 비가 올 확률이 얼마나 되나요?,6
276,오늘 홍익대학교 비가 내릴 확률이 있나요?,6
277,홍대 비 예보가 궁금해요.,6
278,홍대 근처 오늘 비가 올까요?,6
279,홍익대학교 비가 내릴 가능성 있나요?,6
280,오늘 홍대 비가 내릴 확률이 있나요?,6
281,홍익대학교 비가 올 확률 얼마나 되나요?,6
282,오늘 홍대 비 예보가 궁금해요.,6
283,홍대 비가 올 가능성이 얼마나 되나요?,6
284,오늘 홍익대학교 비가 내릴 가능성이 있나요?,6
285,홍대 비 예보 좀 알려줄래요?,6
286,오늘 홍대 비가 올 확률이 얼마나 되나요?,6
287,홍익대학교 비가 내릴 확률 얼마나 되나요?,6
288,오늘 홍대 비가 올 가능성이 얼마나 되나요?,6
289,홍대 비 예보를 확인해줄래요?,6
290,오늘 홍익대학교 비가 올 확률이 얼마나 되나요?,6
291,홍대 비가 올 확률 얼마나 되나요?,6
292,오늘 홍대 비 예보를 알려줄래요?,6
293,홍익대학교 비가 내릴 가능성이 얼마나 되나요?,6
294,오늘 홍대 비가 내릴 확률이 얼마나 되나요?,6
295,홍대 비 예보 좀 확인해줄래요?,6
296,오늘 홍익대학교 비가 올 확률 얼마나 되나요?,6
297,홍대 비가 올 가능성을 알고 싶어요.,6
298,오늘 홍익대학교 비가 내릴 가능성이 얼마나 되나요?,6
299,홍대 주변 기온은 몇 도인가요?,6
300,홍익대학교 주변 기온이 몇 도인지 알려주세요.,6
301,홍익대학교 오늘 기온이 몇 도인가요?,6
302,홍익대학교 오늘 기온이 어떤가요?,6
303,홍익대학교 근처 오늘 기온이 어떤가요?,6
304,홍익대학교 오늘 기온이 몇 도인지 궁금해요.,6
305,홍대 근처 기온이 몇 도인지 알려주세요.,6
306,홍익대학교 근처 기온이 어떤가요?,6
307,홍대 앞 기온이 궁금해요.,6
308,홍익대학교 주변 기온이 몇 도인지 궁금해요.,6
309,홍대 오늘 기온이 몇 도인가요?,6
310,홍익대학교 기온이 오늘 몇 도인가요?,6
311,오늘 홍대 기온은 몇 도인가요?,6
312,홍대 기온이 몇 도인지 알려줄래요?,6
313,오늘 홍익대학교 기온은 몇 도인가요?,6
314,홍대 근처 기온이 어떤지 알고 싶어요.,6
315,홍익대학교 기온이 몇 도인지 알려줄 수 있나요?,6
316,홍대 오늘 기온이 몇 도인지 아세요?,6
317,오늘 홍익대학교 기온이 몇 도인지 아세요?,6
318,홍대 기온이 지금 몇 도인지 궁금해요.,6
319,홍익대학교 기온이 오늘 몇 도인지 아세요?,6
320,오늘 홍대 기온이 몇 도인지 알려줄래요?,6
321,홍대 근처 기온이 지금 몇 도인가요?,6
322,홍익대학교 기온이 지금 몇 도인가요?,6
323,홍대 기온이 지금 몇 도인지 아세요?,6
324,홍익대학교 기온이 지금 몇 도인지 알려줄래요?,6
325,오늘 홍대 기온이 몇 도인지 궁금해요.,6
326,홍익대학교 근처 기온이 몇 도인지 알고 싶어요.,6
327,홍대 기온이 오늘 몇 도인지 궁금해요.,6
328,오늘 홍대 기온이 몇 도인지 알려줄 수 있나요?,6
329,홍익대학교 오늘 기온이 몇 도인지 아세요?,6
330,홍대 근처 기온이 오늘 몇 도인가요?,6
331,홍대 기온이 지금 몇 도인지 알려주세요.,6
332,홍익대학교 기온이 지금 몇 도인가요?,6
333,홍대 근처 기온이 지금 몇 도인지 알려줄래요?,6
334,오늘 홍익대학교 기온이 몇 도인지 알려주세요.,6
335,홍대 오늘 기온이 몇 도인지 알려줄래요?,6
336,오늘 홍익대학교 기온이 몇 도인가요?,6
337,홍대 기온이 오늘 몇 도인지 알고 싶어요.,6
338,홍익대학교 기온이 몇 도인지 지금 알려줄래요?,6
339,오늘 홍대 근처 기온이 몇 도인가요?,6
340,홍대 오늘 기온이 몇 도인지 아세요?,6
341,오늘 홍익대학교 근처 기온이 몇 도인가요?,6
342,홍대 기온이 지금 몇 도인지 아세요?,6
343,홍익대학교 기온이 몇 도인지 지금 알고 싶어요.,6
344,홍대 근처 오늘 기온이 몇 도인가요?,6
345,홍대 기온이 몇 도인지 지금 알려줄래요?,6
346,홍익대학교 오늘 기온이 몇 도인지 알고 싶어요.,6
347,오늘 홍대 근처 기온이 몇 도인지 아세요?,6
348,홍대 기온이 지금 몇 도인지 궁금해요.,6
349,홍익대학교 기온이 오늘 몇 도인지 지금 알려줄래요?,6
350,홍대 근처 기온이 지금 몇 도인지 아세요?,6
351,오늘 홍대 기온이 몇 도인지 아세요?,6
352,홍익대학교 기온이 몇 도인지 지금 알고 싶어요.,6
353,홍대 오늘 기온이 몇 도인지 지금 알려줄래요?,6
354,오늘 홍익대학교 기온이 몇 도인지 알려줄 수 있나요?,6
355,홍대 근처 기온이 오늘 몇 도인지 알고 싶어요.,6
356,홍대 기온이 지금 몇 도인지 지금 알려줄래요?,6
357,오늘 홍익대학교 기온이 몇 도인지 지금 아세요?,6
358,홍대 기온이 지금 몇 도인지 지금 알려줄래요?,6
359,홍익대학교 기온이 오늘 몇 도인지 지금 알려줄 수 있나요?,6
360,오늘 홍대 근처 기온이 몇 도인지 알려줄래요?,6
361,홍대 오늘 기온이 몇 도인지 지금 알고 싶어요.,6
362,오늘 홍익대학교 기온이 몇 도인지 지금 알려줄래요?,6
363,홍대 기온이 지금 몇 도인지 지금 아세요?,6
364,홍익대학교 기온이 몇 도인지 지금 아세요?,6
365,홍대 근처 기온이 오늘 몇 도인지 지금 알려줄 수 있나요?,6
366,오늘 홍대 기온이 몇 도인지 지금 알려줄래요?,6
367,홍익대학교 기온이 오늘 몇 도인지 지금 알고 싶어요.,6
368,홍대 기온이 지금 몇 도인지 지금 아세요?,6
369,오늘 홍대 근처 기온이 몇 도인지 지금 알려줄래요?,6
370,홍대 기온이 오늘 몇 도인지 지금 알고 싶어요.,6
371,오늘 홍익대학교 기온이 몇 도인지 지금 알려줄 수 있나요?,6
372,홍대 근처 기온이 지금 몇 도인지 지금 알려줄래요?,6
373,오늘 홍대 기온이 몇 도인지 지금 아세요?,6
374,홍익대학교 기온이 오늘 몇 도인지 지금 알려줄래요?,6
375,홍대 기온이 지금 몇 도인지 알고 싶어요.,6
376,오늘 홍대 근처 기온이 몇 도인지 지금 알려줄래요?,6
377,홍대 기온이 오늘 몇 도인지 지금 알려줄 수 있나요?,6
378,홍익대학교 오늘 기온이 몇 도인지 지금 알고 싶어요.,6
379,홍대 근처 기온이 지금 몇 도인지 알려줄래요?,6
380,오늘 홍대 기온이 몇,6
381,홍대 기온이 오늘 몇 도인지 지금 알고 싶어요.,6
382,오늘 홍익대학교 기온이 몇 도인지 지금 아세요?,6
383,홍대 기온이 지금 몇 도인지 지금 알려줄래요?,6
384,홍익대학교 오늘 기온이 몇 도인지 지금 알려줄래요?,6
385,홍대 근처 기온이 지금 몇 도인지 지금 알고 싶어요.,6
386,홍대 오늘 기온이 몇 도인지 지금 아세요?,6
387,홍익대학교 기온이 오늘 몇 도인지 지금 알려줄 수 있나요?,6
388,오늘 홍대 기온이 몇 도인지 지금 알고 싶어요.,6
389,홍대 근처 기온이 지금 몇 도인지 지금 알려줄래요?,6
390,홍대 오늘 기온이 몇 도인지 지금 알려줄 수 있나요?,6
391,홍익대학교 기온이 오늘 몇 도인지 지금 알고 싶어요.,6
392,홍대 근처 기온이 지금 몇 도인지 지금 알려줄 수 있나요?,6
393,오늘 홍대 기온이 몇 도인지 지금 아세요?,6
394,홍익대학교 기온이 지금 몇 도인지 지금 알려줄래요?,6
395,홍대 기온이 지금 몇 도인지 지금 알고 싶어요.,6
396,오늘 홍익대학교 기온이 몇 도인지 지금 알려줄래요?,6
397,홍대 기온이 오늘 몇 도인지 지금 아세요?,6
398,오늘 홍대 근처 기온이 몇 도인지 지금 알려줄래요?,6
399,오늘 홍익대학교 주변 날씨가 어떤가요?,6
400,홍익대학교 근처 날씨는 지금 어떤 상태인가요?,6
401,홍대 주변 날씨 예보 좀 알려주세요.,6
402,현재 홍익대학교 날씨 상황은 어떤가요?,6
403,홍대 앞 날씨가 궁금해요.,6
404,홍대 근처 오늘 날씨가 어떤가요?,6
405,오늘 홍익대학교 날씨 정보 부탁드려요.,6
406,홍익대학교 주변 날씨가 오늘 어떤지 알려주세요.,6
407,홍익대학교 오늘 날씨 정보 부탁드립니다.,6
408,홍대 근처 날씨가 어떻게 변할까요?,6
409,홍대 주변 오늘 날씨 정보 부탁드립니다.,6
410,홍대 근처 날씨 예보 부탁드려요.,6
411,홍익대학교 날씨가 어떨지 알려주세요.,6
412,홍대 날씨가 지금 어떤가요?,6
413,홍대 날씨가 오늘 좋은가요?,6
414,홍대 날씨가 오늘 어떤지 궁금해요.,6
415,홍익대학교 근처 날씨가 지금 어떤가요?,6
416,홍대 날씨 예보가 궁금해요.,6
417,홍익대학교 날씨가 지금 좋은가요?,6
418,홍대 날씨가 지금 어떤 상태인가요?,6
419,홍익대학교 근처 지금 날씨가 어떤가요?,6
420,홍대 오늘 날씨 예보 좀 부탁드립니다.,6
421,홍익대학교 주변 날씨가 지금 어떤 상태인가요?,6
422,홍대 오늘 날씨가 어떤가요?,6
423,홍익대학교 날씨 예보가 궁금해요.,6
424,홍대 주변 날씨가 지금 어떤가요?,6
425,홍대 근처 날씨가 지금 어떤가요?,6
426,홍익대학교 날씨 예보 좀 부탁드려요.,6
427,홍대 주변 오늘 날씨가 어떤지 알려주세요.,6
428,홍익대학교 오늘 날씨가 어떤가요?,6
429,홍대 날씨가 지금 어떤 상태인가요?,6
430,홍익대학교 근처 오늘 날씨가 어떤가요?,6
431,홍대 오늘 날씨가 어떤 상태인가요?,6
432,홍익대학교 오늘 날씨 예보 좀 알려주세요.,6
433,홍대 주변 날씨가 지금 어떤지 궁금해요.,6
434,홍익대학교 오늘 날씨가 어떤 상태인가요?,6
435,홍대 근처 날씨가 지금 어떤지 알려주세요.,6
436,홍익대학교 날씨가 지금 어떤지 알고 싶어요.,6
437,홍대 오늘 날씨가 어떤지 알려주세요.,6
438,홍익대학교 날씨가 지금 어떤 상태인가요?,6
439,홍대 날씨 예보가 어떻게 되나요?,6
440,홍익대학교 근처 지금 날씨가 어떤지 궁금해요.,6
441,홍대 오늘 날씨 예보가 궁금해요.,6
442,홍익대학교 날씨가 지금 어떤지 알려주세요.,6
443,홍대 주변 날씨가 지금 어떤지 알고 싶어요.,6
444,홍익대학교 오늘 날씨 상태가 어떤가요?,6
445,홍대 근처 날씨가 지금 어떤 상태인가요?,6
446,홍익대학교 날씨 예보 좀 알려줄래요?,6
447,홍대 오늘 날씨 상태가 궁금해요.,6
448,홍익대학교 근처 오늘 날씨 상태가 어떤가요?,6
449,홍대 날씨가 지금 어떤지 알고 싶어요.,6
450,홍익대학교 오늘 날씨가 어떤지 알려주세요.,6
451,홍대 주변 날씨가 지금 어떤 상태인지 알려주세요.,6
452,홍익대학교 날씨가 지금 어떤지 궁금해요.,6
453,홍대 날씨가 지금 어떤지 알려줄래요?,6
454,홍익대학교 근처 오늘 날씨 상태가 궁금해요.,6
